video_id,generic_m3u8_link,html_link,date,processed_transcript_text_link
slovakia_7_23_9_12122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=12122017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=12122017&DisplayChairman=true,12122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=12122017&DisplayChairman=true
slovakia_7_23_10_13122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=13122017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=13122017&DisplayChairman=true,13122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=13122017&DisplayChairman=true
slovakia_7_22_1_18102017,https://tv.nrsr.sk/archiv/schodza/7/22?MeetingDate=18102017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/22?MeetingDate=18102017&DisplayChairman=true,18102017,https://tv.nrsr.sk/archiv/schodza/7/22?MeetingDate=18102017&DisplayChairman=true
slovakia_7_21_1_10102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=10102017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=10102017&DisplayChairman=true,10102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=10102017&DisplayChairman=true
slovakia_7_21_2_11102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=11102017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=11102017&DisplayChairman=true,11102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=11102017&DisplayChairman=true
slovakia_7_21_3_12102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=12102017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=12102017&DisplayChairman=true,12102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=12102017&DisplayChairman=true
slovakia_7_21_4_13102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=13102017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=13102017&DisplayChairman=true,13102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=13102017&DisplayChairman=true
slovakia_7_21_5_17102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=17102017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=17102017&DisplayChairman=true,17102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=17102017&DisplayChairman=true
slovakia_7_21_6_18102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=18102017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=18102017&DisplayChairman=true,18102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=18102017&DisplayChairman=true
slovakia_7_21_7_19102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=19102017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=19102017&DisplayChairman=true,19102017,https://tv.nrsr.sk/archiv/schodza/7/21?MeetingDate=19102017&DisplayChairman=true
slovakia_7_20_1_07092017,https://tv.nrsr.sk/archiv/schodza/7/20?MeetingDate=07092017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/20?MeetingDate=07092017&DisplayChairman=true,7092017,https://tv.nrsr.sk/archiv/schodza/7/20?MeetingDate=07092017&DisplayChairman=true
slovakia_7_19_1_05092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=05092017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=05092017&DisplayChairman=true,5092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=05092017&DisplayChairman=true
slovakia_7_19_2_06092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=06092017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=06092017&DisplayChairman=true,6092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=06092017&DisplayChairman=true
slovakia_7_19_3_07092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=07092017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=07092017&DisplayChairman=true,7092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=07092017&DisplayChairman=true
slovakia_7_19_4_08092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=08092017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=08092017&DisplayChairman=true,8092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=08092017&DisplayChairman=true
slovakia_7_19_5_11092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=11092017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=11092017&DisplayChairman=true,11092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=11092017&DisplayChairman=true
slovakia_7_19_6_12092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=12092017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=12092017&DisplayChairman=true,12092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=12092017&DisplayChairman=true
slovakia_7_19_7_13092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=13092017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=13092017&DisplayChairman=true,13092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=13092017&DisplayChairman=true
slovakia_7_19_8_14092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=14092017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=14092017&DisplayChairman=true,14092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=14092017&DisplayChairman=true
slovakia_7_19_9_19092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=19092017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=19092017&DisplayChairman=true,19092017,https://tv.nrsr.sk/archiv/schodza/7/19?MeetingDate=19092017&DisplayChairman=true
slovakia_7_18_1_13062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=13062017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=13062017&DisplayChairman=true,13062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=13062017&DisplayChairman=true
slovakia_7_18_2_14062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=14062017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=14062017&DisplayChairman=true,14062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=14062017&DisplayChairman=true
slovakia_7_18_3_15062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=15062017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=15062017&DisplayChairman=true,15062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=15062017&DisplayChairman=true
slovakia_7_18_4_16062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=16062017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=16062017&DisplayChairman=true,16062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=16062017&DisplayChairman=true
slovakia_7_18_5_19062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=19062017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=19062017&DisplayChairman=true,19062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=19062017&DisplayChairman=true
slovakia_7_18_6_20062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=20062017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=20062017&DisplayChairman=true,20062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=20062017&DisplayChairman=true
slovakia_7_18_7_21062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=21062017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=21062017&DisplayChairman=true,21062017,https://tv.nrsr.sk/archiv/schodza/7/18?MeetingDate=21062017&DisplayChairman=true
slovakia_7_17_1_09052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=09052017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=09052017&DisplayChairman=true,9052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=09052017&DisplayChairman=true
slovakia_7_17_2_10052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=10052017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=10052017&DisplayChairman=true,10052017,https://tv.nrsr.sk/archiv/schodza/7/17?MeetingDate=10052017&DisplayChairman=true
