html_link,processed_video_link,transcript_id,year,part
https://www.ft.dk/forhandlinger/20101/20101M051_2011-02-04_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/51.aspx,20101M051_2011-02-04_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M050_2011-02-03_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/50.aspx,20101M050_2011-02-03_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M049_2011-02-02_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/49.aspx,20101M049_2011-02-02_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M048_2011-02-01_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/48.aspx,20101M048_2011-02-01_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M047_2011-01-27_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/47.aspx,20101M047_2011-01-27_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M046_2011-01-26_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/46.aspx,20101M046_2011-01-26_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M045_2011-01-25_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/45.aspx,20101M045_2011-01-25_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M044_2011-01-20_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/44.aspx,20101M044_2011-01-20_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M043_2011-01-19_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/43.aspx,20101M043_2011-01-19_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M042_2011-01-18_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/42.aspx,20101M042_2011-01-18_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M041_2011-01-14_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/41.aspx,20101M041_2011-01-14_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M040_2011-01-13_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/40.aspx,20101M040_2011-01-13_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M039_2011-01-12_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/39.aspx,20101M039_2011-01-12_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M038_2011-01-11_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/38.aspx,20101M038_2011-01-11_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M037_2010-12-17_0900.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/37.aspx,20101M037_2010-12-17_0900,2010,1
https://www.ft.dk/forhandlinger/20101/20101M036_2010-12-16_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/36.aspx,20101M036_2010-12-16_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M035_2010-12-15_0900.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/35.aspx,20101M035_2010-12-15_0900,2010,1
https://www.ft.dk/forhandlinger/20101/20101M034_2010-12-14_1200.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/34.aspx,20101M034_2010-12-14_1200,2010,1
