video_id,generic_video_link,title,processed_transcript_text_link
montenegro_42_12112024,https://www.youtube.com/watch?v=L-z37kae0kw,Druga - posebna sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (osmi dan),https://www.skupstina.me/en/chronology-of-discussions/440
montenegro_43_12112024,https://www.youtube.com/watch?v=L-z37kae0kw,Treća sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/456
montenegro_44_11112024,https://www.youtube.com/watch?v=L-z37kae0kw,Druga - posebna sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (sedmi dan),https://www.skupstina.me/en/chronology-of-discussions/443
montenegro_45_08112024,https://www.youtube.com/watch?v=L-z37kae0kw,Druga - posebna sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (šesti dan),https://www.skupstina.me/en/chronology-of-discussions/442
montenegro_46_07112024,https://www.youtube.com/watch?v=L-z37kae0kw,Druga - posebna sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (peti dan),https://www.skupstina.me/en/chronology-of-discussions/444
montenegro_47_06112024,https://www.youtube.com/watch?v=L-z37kae0kw,Druga - posebna sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (četvrti dan),https://www.skupstina.me/en/chronology-of-discussions/439
montenegro_48_05112024,https://www.youtube.com/watch?v=L-z37kae0kw,Druga - posebna sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (treći dan),https://www.skupstina.me/en/chronology-of-discussions/438
montenegro_49_04112024,https://www.youtube.com/watch?v=L-z37kae0kw,Druga - posebna sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/436
montenegro_50_29102024,https://www.youtube.com/watch?v=L-z37kae0kw,Druga - posebna sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/437
montenegro_51_15102024,https://www.youtube.com/watch?v=L-z37kae0kw,Prva sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (treći dan),https://www.skupstina.me/en/chronology-of-discussions/435
montenegro_52_10102024,https://www.youtube.com/watch?v=L-z37kae0kw,Prva sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/433
montenegro_53_09102024,https://www.youtube.com/watch?v=L-z37kae0kw,Prva sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/431
montenegro_54_26092024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica 11. vanrednog zasijedanja u 2024. godini,https://www.skupstina.me/en/chronology-of-discussions/429
montenegro_55_09092024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica Osmog vanrednog zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/434
montenegro_56_06092024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica Sedmog vanrednog zasijedanja u 2024. godini (četvrti dan),https://www.skupstina.me/en/chronology-of-discussions/432
montenegro_57_05092024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica Sedmog vanrednog zasijedanja u 2024. godini (treći dan),https://www.skupstina.me/en/chronology-of-discussions/426
montenegro_58_05092024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica Devetog vanrednog zasijedanja u 2024. godini,https://www.skupstina.me/en/chronology-of-discussions/428
montenegro_59_04092024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica Sedmog vanrednog zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/425
montenegro_60_04092024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica Osmog vanrednog zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/427
montenegro_61_30082024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica Sedmog vanrednog zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/421
montenegro_62_30082024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica Šestog vanrednog zasijedanja u 2024. godini,https://www.skupstina.me/en/chronology-of-discussions/419
montenegro_63_17082024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica Petog vanrednog zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/430
montenegro_64_17082024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica Četvrtog vanrednog zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/422
montenegro_65_16082024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica Petog vanrednog zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/418
montenegro_66_16082024,https://www.youtube.com/watch?v=L-z37kae0kw,Sjednica Četvrtog vanrednog zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/424
montenegro_67_31072024,https://www.youtube.com/watch?v=L-z37kae0kw,Šesta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (jedanaesti dan),https://www.skupstina.me/en/chronology-of-discussions/417
montenegro_68_31072024,https://www.youtube.com/watch?v=L-z37kae0kw,Deveta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (šesti dan),https://www.skupstina.me/en/chronology-of-discussions/413
montenegro_69_31072024,https://www.youtube.com/watch?v=L-z37kae0kw,Četrnaesta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini,https://www.skupstina.me/en/chronology-of-discussions/412
montenegro_70_30072024,https://www.youtube.com/watch?v=L-z37kae0kw,Trinaesta - posebna sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini,https://www.skupstina.me/en/chronology-of-discussions/411
montenegro_71_29072024,https://www.youtube.com/watch?v=L-z37kae0kw,Šesta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (deseti dan),https://www.skupstina.me/en/chronology-of-discussions/423
montenegro_72_25072024,https://www.youtube.com/watch?v=L-z37kae0kw,Šesta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (deveti dan),https://www.skupstina.me/en/chronology-of-discussions/420
montenegro_73_23072024,https://www.youtube.com/watch?v=L-z37kae0kw,Šesta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (osmi dan),https://www.skupstina.me/en/chronology-of-discussions/416
montenegro_74_19072024,https://www.youtube.com/watch?v=L-z37kae0kw,Dvanaesta - posebna sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini,https://www.skupstina.me/en/chronology-of-discussions/410
montenegro_75_17072024,https://www.youtube.com/watch?v=L-z37kae0kw,Deveta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (peti dan),https://www.skupstina.me/en/chronology-of-discussions/404
montenegro_76_17072024,https://www.youtube.com/watch?v=L-z37kae0kw,Šesta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (sedmi dan),https://www.skupstina.me/en/chronology-of-discussions/414
montenegro_77_16072024,https://www.youtube.com/watch?v=L-z37kae0kw,Šesta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (šesti dan),https://www.skupstina.me/en/chronology-of-discussions/415
montenegro_78_10072024,https://www.youtube.com/watch?v=L-z37kae0kw,Šesta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (peti dan),https://www.skupstina.me/en/chronology-of-discussions/405
montenegro_79_09072024,https://www.youtube.com/watch?v=L-z37kae0kw,Šesta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (četvrti dan),https://www.skupstina.me/en/chronology-of-discussions/402
montenegro_80_09072024,https://www.youtube.com/watch?v=L-z37kae0kw,Deveta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (treći dan/ II dio i četvrti dan),https://www.skupstina.me/en/chronology-of-discussions/409
montenegro_81_08072024,https://www.youtube.com/watch?v=L-z37kae0kw,Deveta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (treći dan - prvi dio),https://www.skupstina.me/en/chronology-of-discussions/407
montenegro_82_08072024,https://www.youtube.com/watch?v=L-z37kae0kw,Šesta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (treći dan),https://www.skupstina.me/en/chronology-of-discussions/399
montenegro_83_01072024,https://www.youtube.com/watch?v=L-z37kae0kw,Deseta - posebna sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/396
montenegro_84_01072024,https://www.youtube.com/watch?v=L-z37kae0kw,Deveta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/397
montenegro_85_29062024,https://www.youtube.com/watch?v=L-z37kae0kw,Deseta - posebna sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/395
montenegro_86_28062024,https://www.youtube.com/watch?v=L-z37kae0kw,Deveta sjednica Prvog redovnog (proljećnjeg) zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/401
