transcript_id,processed_transcript_text_link_disabled,transcript_title,date,video_id,processed_video_link,video_title,merged_id
slovenia_2018_95_izredna_0_21022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=8B8C6909C93FB46EC12587F0003539C0,95. izredna seja Državnega zbora,21022022,slovenia_95_Izredna_3_21022022,https://365.rtvslo.si/embed/174850399?a=1&d=1,Državni zbor (95. Izredna),slovenia_2018_95_izredna_0_21022022_slovenia_95_Izredna_3_21022022
slovenia_2018_95_izredna_1_22022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=F5499884623AB592C12587F1002F20BC,95. izredna seja Državnega zbora,22022022,slovenia_95_Izredna_0_22022022,https://365.rtvslo.si/embed/174850514?a=1&d=1,Državni zbor (95. Izredna),slovenia_2018_95_izredna_1_22022022_slovenia_95_Izredna_0_22022022
slovenia_2018_95_izredna_1_22022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=F5499884623AB592C12587F1002F20BC,95. izredna seja Državnega zbora,22022022,slovenia_95_Izredna_1_22022022,https://365.rtvslo.si/embed/174850570?a=1&d=1,Državni zbor (95. Izredna),slovenia_2018_95_izredna_1_22022022_slovenia_95_Izredna_1_22022022
slovenia_2018_29_redna_0_31012022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=sz&uid=E910FA6F117B3BA5C12587DF003D0E15,29. redna seja Državnega zbora,31012022,slovenia_96_Izredna_0_31012022,https://365.rtvslo.si/embed/174852179?a=1&d=1,Državni zbor (96. Izredna),slovenia_2018_29_redna_0_31012022_slovenia_96_Izredna_0_31012022
slovenia_2018_29_redna_0_31012022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=sz&uid=E910FA6F117B3BA5C12587DF003D0E15,29. redna seja Državnega zbora,31012022,slovenia_96_Izredna_1_31012022,https://365.rtvslo.si/embed/174852182?a=1&d=1,Državni zbor (96. Izredna),slovenia_2018_29_redna_0_31012022_slovenia_96_Izredna_1_31012022
slovenia_2018_29_redna_1_01022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=sz&uid=0B0783DFAFFE074BC125883800536A70,29. redna seja Državnega zbora,01022022,slovenia_29_Redna_0_01022022,https://365.rtvslo.si/embed/174844507?a=1&d=1,Državni zbor (29. Redna),slovenia_2018_29_redna_1_01022022_slovenia_29_Redna_0_01022022
slovenia_2018_29_redna_1_01022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=sz&uid=0B0783DFAFFE074BC125883800536A70,29. redna seja Državnega zbora,01022022,slovenia_29_Redna_1_01022022,https://365.rtvslo.si/embed/174844547?a=1&d=1,Državni zbor (29. Redna),slovenia_2018_29_redna_1_01022022_slovenia_29_Redna_1_01022022
slovenia_2018_29_redna_3_03022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=sz&uid=7BC9E48386ABF4ACC1258839003173C9,29. redna seja Državnega zbora,03022022,slovenia_29_Redna_0_03022022,https://365.rtvslo.si/embed/174845038?a=1&d=1,Državni zbor (29. Redna),slovenia_2018_29_redna_3_03022022_slovenia_29_Redna_0_03022022
slovenia_2018_29_redna_3_03022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=sz&uid=7BC9E48386ABF4ACC1258839003173C9,29. redna seja Državnega zbora,03022022,slovenia_29_Redna_1_03022022,https://365.rtvslo.si/embed/174845112?a=1&d=1,Državni zbor (29. Redna),slovenia_2018_29_redna_3_03022022_slovenia_29_Redna_1_03022022
slovenia_2018_29_redna_3_03022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=sz&uid=7BC9E48386ABF4ACC1258839003173C9,29. redna seja Državnega zbora,03022022,slovenia_29_Redna_2_03022022,https://365.rtvslo.si/embed/174845191?a=1&d=1,Državni zbor (29. Redna),slovenia_2018_29_redna_3_03022022_slovenia_29_Redna_2_03022022
slovenia_2018_29_redna_4_04022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=sz&uid=1DA1170E29D6555AC1258847004935EC,29. redna seja Državnega zbora,04022022,slovenia_29_Redna_0_04022022,https://365.rtvslo.si/embed/174845375?a=1&d=1,Državni zbor (29. Redna),slovenia_2018_29_redna_4_04022022_slovenia_29_Redna_0_04022022
slovenia_2018_29_redna_4_04022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=sz&uid=1DA1170E29D6555AC1258847004935EC,29. redna seja Državnega zbora,04022022,slovenia_29_Redna_1_04022022,https://365.rtvslo.si/embed/174845491?a=1&d=1,Državni zbor (29. Redna),slovenia_2018_29_redna_4_04022022_slovenia_29_Redna_1_04022022
slovenia_2018_29_redna_4_04022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=sz&uid=1DA1170E29D6555AC1258847004935EC,29. redna seja Državnega zbora,04022022,slovenia_29_Redna_2_04022022,https://365.rtvslo.si/embed/174845541?a=1&d=1,Državni zbor (29. Redna),slovenia_2018_29_redna_4_04022022_slovenia_29_Redna_2_04022022
slovenia_2018_94_izredna_0_26012022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=96D5D90BD097AB1EC12587D600395E3E,94. izredna seja Državnega zbora,26012022,slovenia_96_Izredna_0_26012022,https://365.rtvslo.si/embed/174852179?a=1&d=1,Državni zbor (96. Izredna),slovenia_2018_94_izredna_0_26012022_slovenia_96_Izredna_0_26012022
slovenia_2018_94_izredna_0_26012022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=96D5D90BD097AB1EC12587D600395E3E,94. izredna seja Državnega zbora,26012022,slovenia_96_Izredna_1_26012022,https://365.rtvslo.si/embed/174852182?a=1&d=1,Državni zbor (96. Izredna),slovenia_2018_94_izredna_0_26012022_slovenia_96_Izredna_1_26012022
slovenia_2018_93_izredna_0_13012022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=FFE9582E23B779FEC12587C900345994,93. izredna seja Državnega zbora,13012022,slovenia_96_Izredna_0_13012022,https://365.rtvslo.si/embed/174852179?a=1&d=1,Državni zbor (96. Izredna),slovenia_2018_93_izredna_0_13012022_slovenia_96_Izredna_0_13012022
slovenia_2018_93_izredna_0_13012022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=FFE9582E23B779FEC12587C900345994,93. izredna seja Državnega zbora,13012022,slovenia_96_Izredna_1_13012022,https://365.rtvslo.si/embed/174852182?a=1&d=1,Državni zbor (96. Izredna),slovenia_2018_93_izredna_0_13012022_slovenia_96_Izredna_1_13012022
slovenia_2018_92_izredna_0_29122021,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=sz&uid=143AE281140FCBA0C125883900229E40,92. izredna seja Državnega zbora,29122021,slovenia_92_Izredna_0_29122021,https://365.rtvslo.si/embed/174835318?a=1&d=1,Državni zbor (92. Izredna),slovenia_2018_92_izredna_0_29122021_slovenia_92_Izredna_0_29122021
